	/WW03-SC2-EN-25-11-13-NR-M08783-251124
summarized	[('XFG* (XFG.X)', 0.9646959029655761), ('BA.2.86* (BA.2.86.X)', 0.028373408910752237)]
lineages	XFG.9.3.1 XFG.29 XFG.5 XFG.4 XFG.22 XFG.6 XFG.34 XFG.30 XFG.3.20 XFG.3.13 XFG.16 XFG.3 XFG.17 XFG.1 XFG.21 XFG XFG.9 XFG.4.2 XFG.4.1.5 XFG.22.3 XFG.9.6 XFG.9.1 XFG.4.1.2 XFG.4.1.3 XFG.4.1.4 XFG.22.1 XFG.6.11 XFG.4.1 XFG.6.10 XFG.6.7 XFG.6.3 XFG.9.3 XFG.9.5 XFG.9.2 NT.1
abundances	0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341 0.02837341
resid	4.456273540133605
coverage	40.33040163194328
