	/WW01-SC2-SB-100925-SDC-M08760-251021
summarized	[('XFG* (XFG.X)', 0.9932812018784315)]
lineages	XFG.3 XFG.2
abundances	0.79478355 0.19849765
resid	14.141812097902383
coverage	93.15787713607331
