	/WW01-SC2-SB-25-12-23-BC-SH01109-260112
summarized	[('Other', 0.9857076444391516), ('XFG* (XFG.X)', 0.002889307880683331)]
lineages	XFY XFG.4.1.5
abundances	0.98570764 0.00288931
resid	2.0942060207589233
coverage	22.258636257231714
