	/WW01-PL-25-10-27_SC2-NR
summarized	[('XFG* (XFG.X)', 0.5830233355727581), ('BA.2.86* (BA.2.86.X)', 0.24499510305837208), ('NB.1.8.1* (NB.1.8.1.X)', 0.1595915769821952), ('Other', 0.001366117450663087)]
lineages	XFG-like LF.7.10.1 XFG.6.1 PQ.32 XFG.1.1 XFG.5.2.1 XFQ
abundances	0.28034669 0.24499510 0.18804700 0.15959158 0.09939430 0.01523535 0.00136612
resid	13.159475474259605
coverage	52.59338527906899
