	/WW01-SC2-26-018635-PL-26-02-25-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.6830890934953816), ('Other', 0.3074933582468316)]
lineages	XFG.1.1.1 XFG.5.1.3 XFG.14 XDV.1.3 XFG.1.1 XFZ XDR XFG.6 XFG.22 XFY.3 XFG.5.1.4 XFG.1 XFG XFG.33 XFG.4.1.1
abundances	0.21186400 0.14552698 0.12128236 0.11183015 0.10535300 0.09541801 0.08469045 0.02895961 0.02895961 0.01555475 0.01445642 0.01184544 0.01184544 0.00176211 0.00123413
resid	13.201704628184602
coverage	77.20295622512792
