	/WV01-SC2-PL-251001-LB-M08760-251009
summarized	[('Delta', 0.9971191734796552)]
lineages	AY.32 AY.95 AY.104
abundances	0.33237306 0.33237306 0.33237306
resid	3.2459686302473636
coverage	12.420158512523827
