	/WW01-SC2-SB-251023-BC-M08760-251105
summarized	[('Other', 0.9430148270849067), ('BA.2.86* (BA.2.86.X)', 0.055598696587581105)]
lineages	XFQ LF.7.6.4
abundances	0.94301483 0.05559870
resid	9.26558490708067
coverage	65.43490619670267
