	/WW01-SC2-PL-25-12-23-BC-SH01109-260112
summarized	[('XFG* (XFG.X)', 0.9947077899239709)]
lineages	QF.3 QF.6 QF.4 QF.2 XFG.3.4.1 XFG.23.1.5 XFG.38 XFG.3.16.1 XFG.3.16
abundances	0.19768751 0.19768751 0.19768751 0.19768751 0.19768751 0.00218202 0.00150485 0.00129168 0.00129168
resid	8.930163381349306
coverage	40.270207002641875
