	/WW02-SC2-26-017473-EN-26-02-12-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.5823677318229251), ('BA.2.86* (BA.2.86.X)', 0.155031341876357), ('NB.1.8.1* (NB.1.8.1.X)', 0.1273982686734821), ('Other', 0.12538928578224257), ('XEC* (XEC.X)', 0.00507610976479696)]
lineages	XFG.1.1 XFG.3.16 XFY.3 XFG.4.1.1 PQ.10 PQ.10.1 XFZ JN.11 XFV PQ.2.1.11 XFG.14.6 XFG.3.31 LF.7 LF.7.5 LF.7.12 LF.7.9 LF.7.9.4 JN.1.52 XFG.9.6 XFG.29 NT.1 XEC.29 XFG.1 XFG XFG.17 PQ.10.1.1 PQ.2.10 XFG.3.9
abundances	0.30130991 0.15096168 0.05386098 0.05263152 0.04900488 0.04900488 0.04274707 0.03999986 0.02878124 0.02558275 0.02380951 0.02242153 0.01823240 0.01823240 0.01823240 0.01823240 0.01823240 0.01753626 0.01336488 0.00657895 0.00633325 0.00507611 0.00339815 0.00339815 0.00339815 0.00196075 0.00184501 0.00109529
resid	7.514340722634937
coverage	59.201417917934656
