	/WW01-SC2-EN-26-02-27-26-018628-JH-SH01109-260312
summarized	[('XFG* (XFG.X)', 0.510758042876055), ('NB.1.8.1* (NB.1.8.1.X)', 0.3130823244985462), ('Other', 0.11392853716345105), ('BA.2.86* (BA.2.86.X)', 0.0567371600331486)]
lineages	XFG.5 XFG.22 PQ.2.5 PQ.2.5.3 NB.1.6.1 NB.1.6 NT.1 XFG.1.1 XFG.14 XFG.2.6
abundances	0.22515172 0.22515172 0.15668241 0.15639992 0.05696427 0.05696427 0.05673716 0.04597355 0.01334060 0.00114045
resid	12.777441970289352
coverage	82.35628532254289
