	/WW01-SB-25-11-25-SC2
summarized	[('XFG* (XFG.X)', 0.9999990040605157)]
lineages	XFG-like XFG.36 XFG.6.3-like
abundances	0.99727251 0.00147032 0.00125617
resid	4.115344101734876
coverage	39.681637293917
