	/WW01-SC2-26-015214-SB-26-01-20-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.9946215042765233)]
lineages	QF.2 XFG.8 QF.2.1 XFG.3.1.9 XFG.3.16 XFG.23.1.4 QK.2 XFG.6.2.1
abundances	0.26954350 0.23458993 0.14705900 0.13938814 0.08750000 0.06515150 0.05000000 0.00138943
resid	7.703983197872586
coverage	80.26953817342742
