	/WW01-SB-25-11-04_SC2-NR
summarized	[('XFG* (XFG.X)', 0.696464278087791), ('Other', 0.16623491245999128), ('BA.2.86* (BA.2.86.X)', 0.12700204840176044)]
lineages	XFG.3.4.1 QF.1 XFG.3.27 XDR XFG.3.11 JN.1-like(2) JN.1.4.6
abundances	0.20492735 0.18591391 0.18005998 0.16623491 0.12556304 0.12504510 0.00195695
resid	12.19571675813394
coverage	63.40500953081631
