	/WW01-SC2-EN-100725-SDC-M08760-251021
summarized	[('XFG* (XFG.X)', 0.9932112301938171)]
lineages	XFG.7.1 XFG.10.3 XFG.10.4 XFG.3.18 XFG.3.24 XFG.10 XFG.6 XFG.12 XFG.3.17 XFG.3 XFG.1 XFG.21 XFG XFG.3.9
abundances	0.28463200 0.05892602 0.05892602 0.05892602 0.05892602 0.05892602 0.05892602 0.05892602 0.05892602 0.05892602 0.05892602 0.05892602 0.05892602 0.00146699
resid	16.816238903331094
coverage	68.55165033608668
