	/WW01-SC2-PL-25-12-17-NR-SH01109-260102
summarized	[('BA.2.86* (BA.2.86.X)', 0.5899759513633138), ('Other', 0.40217378006197907), ('XFG* (XFG.X)', 0.0011778483949270056)]
lineages	XDV.1.5.1 LF.7.9.5 LF.7.9 LF.7.7.2 LF.7.2.1 LF.7.7 LF.7.5 LF.7.2 LF.7 NB.1.6.1 NB.1.3 NB.1.6 BA.2.86.4 BA.2.86.6 BA.2.86 XFG.15
abundances	0.24974387 0.06716970 0.06716970 0.06716970 0.06716970 0.06716970 0.06716970 0.06716970 0.06716970 0.05080997 0.05080997 0.05080997 0.01753944 0.01753944 0.01753944 0.00117785
resid	8.248227866251625
coverage	65.51850984851018
