	/WW02-EN-25-10-28_SC2-NR
summarized	[('XFG* (XFG.X)', 0.9993556652725458)]
lineages	XFG.3.3-like XFG.23.1 XFG.3.8.1 XFG.17.3
abundances	0.80357100 0.19329326 0.00128949 0.00120192
resid	7.876957632601682
coverage	35.0934688827208
