	/WW01-SC2-PL-251015-BC-M08760-251105
summarized	[('BA.2.86* (BA.2.86.X)', 0.5106269049623353), ('XFG* (XFG.X)', 0.4840552550023521)]
lineages	XFG.26 LF.7.7.1 LF.7 LF.7.5 LF.7.7 LF.7.11 LF.7.7.2 LF.7.10 LF.7.9 XFG.21 XFG XFG.33 XFG.23 XFG.1 XFG.5.4 XFG.17 XFG.3 XFG.29 XFG.30 XFG.31 XFG.6 XFG.9 XFG.5 XFG.3.22 XFG.3.19 LF.7.9.4 XFG.5.3
abundances	0.40000000 0.21803401 0.04157005 0.04157005 0.04157005 0.04157005 0.04157005 0.04157005 0.04157005 0.00524041 0.00524041 0.00524041 0.00524041 0.00524041 0.00524041 0.00524041 0.00524041 0.00524041 0.00524041 0.00524041 0.00524041 0.00524041 0.00524041 0.00524041 0.00436681 0.00160256 0.00108225
resid	4.791019432782941
coverage	62.21783767514965
