	/WW01-SC2-PL-100625-SDC-M08760-251021
summarized	[('XFG* (XFG.X)', 0.9869582100236393)]
lineages	XFG.3.22 XFG.3 QS.1 XFG.3.4.3
abundances	0.38683347 0.38683347 0.10664564 0.10664563
resid	13.302435772295691
coverage	73.67488211885095
