	/WW01-SC2-EN-25-12-25-BC-SH01109-260112
summarized	[('XFG* (XFG.X)', 0.9981388063808989)]
lineages	XFG.3.3.2
abundances	0.99813881
resid	4.3723053968240215
coverage	45.691067785840886
