	/WW01-SC2-SB-26-02-03-NR-SH01109-260223
summarized	[('XFG* (XFG.X)', 0.9973173232373025)]
lineages	XFG.1 XFG QF.2.4 XFG.14.1.2 XFG.1.1 QK.2
abundances	0.32883206 0.32883206 0.17586936 0.09514583 0.05558311 0.01305489
resid	6.871962233533253
coverage	79.94181185834198
