	/WW01-SC2-26-015219-PL-26-01-20-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.974681693327105), ('Other', 0.01898730571416432), ('BA.2.86* (BA.2.86.X)', 0.00632910190472144)]
lineages	XFG.2.5.1 XFG.3.33 XFG.5.4 XFG.4.1 XFG.4.4 XFG.4.2 XFG.35 XFG.3.13 XFG.3.24 XFG.3.5 XFG.10.4 XFG.3.27 XFG.3.15 XFG.3.18 XFG.3.29 XFG.3.6 XFG.3.9 XFG.3.30 XFG.5.2 XFG.10.3 XFG.3.11 XFG.3.1.5 XFG.22.2 XFG.22.3 XFG.3.4 XFG.3.16 XFG.3.30.1 XFG.3.10.2 XFG.3.10.1 XFG.3.1.12 XFG.10.1 XFG.3.1.6 XFG.3.1.3 XFG.3.1.2 XFG.23.1.5 XFG.14 XFG.10.5 XFG.10.2 XFG.3.7 XFG.3.23 XFG.2.7.1 XFG.18.1 XFG.36 XFG.29 XFG.12 XFG.3.21 XFG.3.8 XFG.3.19 XFG.19 XFG.3 XFG.34 XFG.17 XFG.1 XFG.21 XFG.23 XFG.18 XFG.33 XFG XFG.30 XFG.28 XFG.3.10 XFG.23.1 XFG.3.12 XFG.3.22 XFG.3.31 XFG.3.2 XFG.3.1 XFG.17.3 XFG.17.1 XFG.25 XFG.26 XFG.31 XFG.6 XFG.10 XFG.5 XFG.4 XFG.11 XFG.22 XFG.22.1 XFG.4.5 XFG.4.1.4 XFG.5.1.2 XFG.2.9 XFG.2.7 QS.1 QK.1 XFG.14.4 XFG.14.5 XFG.14.3 XFG.5.1.5 XFG.2.5 XFG.2 XFG.13 XFG.3.27.2 XFG.3.27.1 XFG.3.4.3 XFG.3.6.1 XFG.3.16.1 XFG.2.12 XFG.2.13 XFG.4.1.3 XFG.2.2 XFG.2.13.1 XFG.14.1.7 XFG.14.1.5 XFG.2.11 XFG.2.3.1 XFG.2.8 XFG.2.1 QK.1.1 XFG.2.3 XGF XGE XFG.14.1.8 XFG.14.1.2 XFG.14.1.3 XFG.8.2.1 XFG.2.4 XFG.3.1.8 QK.4 XFQ XFG.6.4 XFG.3.1.7 XFG.3.1.11 QK.3 XFG.23.1.3 XFG.6.12 XFG.6.10 XFG.6.7 XFG.6.3 RV.1 XFG.6.9 XFG.8 XFG.5.2.4 XFG.5.2.2 XFG.5.1 XFG.5.4.1 XFG.4.1.2 XFG.3.4.2 XFG.3.4.8 XFG.3.4.6 XFG.3.18.1 XFG.14.6 XFG.14.1 XFG.14.9 XFG.14.8 XFG.14.7 XFG.6.8 XFG.8.1 XFG.8.5 XFG.8.2 XFG.8.3 XFG.5.1.4 QY.3 QY.2 XFG.3.13.1 XFG.3.13.2 NT.1
abundances	0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910 0.00632910
resid	0.2738210451726051
coverage	1.2406781928234625
