	/WW01-SC2-PL-26-01-13-BC-SH01109-260123
summarized	[('XFG* (XFG.X)', 0.4561639384650556), ('Other', 0.38044421376077603), ('BA.2.86* (BA.2.86.X)', 0.15324396421754682)]
lineages	XFG.3.26 XDK XDK.3 MD.1.1 XDV.1.5 NS.2 JN.1.16.3 JN.1.32 XFG.3.23
abundances	0.45476160 0.18275748 0.18275748 0.12014845 0.01492926 0.01103184 0.01103184 0.01103184 0.00140234
resid	16.944359391665575
coverage	71.28716182322844
