	/WW01-PL-25-10-29_SC2-NR
summarized	[('XFG* (XFG.X)', 0.5591058482612543), ('Omicron', 0.28037190796327827), ('BA.2.86* (BA.2.86.X)', 0.15165442751304659)]
lineages	XFG.3.26 XER LF.7-like LF.7.9.4
abundances	0.55910585 0.28037191 0.15064126 0.00101317
resid	11.688639042167331
coverage	62.21114938300505
