	/WW01-SC2-26-015220-PL-26-01-21-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.9952368915658396)]
lineages	XFG.23 XFG.14.8 XFG.17 XFG.1 XFG XFG.23.1 XFG.1.1 RB.2
abundances	0.32622775 0.25305626 0.10400099 0.10400099 0.10400099 0.07587161 0.02702680 0.00105150
resid	3.8358381154843353
coverage	60.261512222853895
