	/WW01-SC2-PL-251012-BC-M08760-251105
summarized	[('Other', 0.5342838325066389), ('BA.2.86* (BA.2.86.X)', 0.460252862452145), ('Omicron', 0.0034719099708028275)]
lineages	XFY PL.1 NB.1.5 NB.1.2 NB.1 XDV.1.5.1 XDV.1.5 XFC.1.3 PC.4.1
abundances	0.47016993 0.45894051 0.01282278 0.01282278 0.01282278 0.01282278 0.01282278 0.00347191 0.00131236
resid	7.116605021283702
coverage	28.873357188241982
