	/WW01-SC2-26-015763-EN-26-01-26-not-clean-Uni-RS-SH01109-260226
summarized	[('XFG* (XFG.X)', 0.8173481885108697), ('Other', 0.12463907310993202), ('Omicron', 0.05168537798257635), ('KP.3* (KP.3.X)', 0.0021007968236673004)]
lineages	XFG.1 XFG.9.6 XFY XFG.19 RN.1 XFG.1.1 XER XGG XFG.5.1.4 KP.3.5 XGA
abundances	0.39719475 0.16755241 0.10958894 0.09131080 0.07750017 0.07692306 0.05168538 0.01333329 0.00686700 0.00210080 0.00171684
resid	7.70827557164149
coverage	71.54800521686788
