	/WW02-EN-25-10-30_SC2-NR
summarized	[('XFG* (XFG.X)', 0.5951879780783723), ('Omicron', 0.24999998850244176), ('BA.2.86* (BA.2.86.X)', 0.1533141894296374)]
lineages	XFG-like XEJ.2 NC.1-like LF.7.1.10-like XFG.3.5 XFG.3.20 XFG-like(1) JN.1.25.1
abundances	0.58989694 0.24999999 0.14822997 0.00386099 0.00212765 0.00176674 0.00139665 0.00122323
resid	9.050581189967467
coverage	48.01524930608969
