	/WW01-SC2-26-017993-PL-26-02-16-not-clean-Uni-RS-SH01109-260226
summarized	[('XFG* (XFG.X)', 0.49999988961616987), ('NB.1.8.1* (NB.1.8.1.X)', 0.2725189915771974), ('BA.2.86* (BA.2.86.X)', 0.11470219669842652), ('KP.3* (KP.3.X)', 0.09521927967954064), ('XEC* (XEC.X)', 0.01652297819379369)]
lineages	XFG.9.6 PQ.2.5 NS.3 KP.3.5 XFG.1.1 XFG.1.1.1 XFG.2.11 XFG.2 XFG.2.2 XEC.22 XFG.3.8.1 KP.3.3.1
abundances	0.27850175 0.27251899 0.11470220 0.09090895 0.06372549 0.06372549 0.02941107 0.02941107 0.02941107 0.01652298 0.00581395 0.00431033
resid	8.538796081701074
coverage	38.20352472996021
