	/WW01-SC2-PL-251014-BC-M08760-251105
summarized	[('XFG* (XFG.X)', 0.9941361071618781)]
lineages	XFG.3.4 XFG.14.1.1 XFG.3
abundances	0.95284963 0.03717180 0.00411467
resid	13.045039615505367
coverage	95.58238303849112
