	/WW02-EN-25-11-24-SC2
summarized	[('XFG* (XFG.X)', 0.6501059351321689), ('Omicron', 0.34765011013473957)]
lineages	XFG.9.6 XER XFG.1.3 XFG.3.4-like XFG.3.1.9 XFG.33
abundances	0.36330932 0.34765011 0.24066196 0.03415840 0.00970872 0.00226754
resid	10.461838598811042
coverage	60.60930341437314
