	/WW01-SC2-EN-26-01-16-BC-SH01109-260123
summarized	[('XFG* (XFG.X)', 0.662082767526272), ('NB.1.8.1* (NB.1.8.1.X)', 0.24424880269561378), ('Other', 0.07942792870850296)]
lineages	XFG.6 PQ.4.10.1 XFG.14.1 XFG.2.9 NB.1.8 XDV XFG XFG.1 XFG.39
abundances	0.35898836 0.24424880 0.15249630 0.12124476 0.05457306 0.02485487 0.01554128 0.01235801 0.00145406
resid	24.324153931798598
coverage	95.19111794803197
