	/WW01-SC2-26-015764-EN-26-01-27-not-clean-Uni-RS-SH01109-260226
summarized	[('XFG* (XFG.X)', 0.6842539753154143), ('Other', 0.16957898364166069), ('Omicron', 0.0867556496302817), ('BA.2.86* (BA.2.86.X)', 0.05094645921375869)]
lineages	XFG.3.16 XFG.14.1 QS.2 XER XFN.2 XFG.3 XFG.14.1.2 XFN XFG.1.1 XDV LF.7.9 LF.7 XFG.6.2 XFZ QF.6 XFG.3.4.1
abundances	0.22120898 0.15971310 0.13975030 0.08675565 0.08500290 0.06132953 0.04490237 0.04251199 0.03456190 0.03336098 0.02547323 0.02547323 0.02057266 0.00870312 0.00110757 0.00110757
resid	8.96540244802252
coverage	85.15533558505835
