	/WW01-SB-25-11-30-SC2
summarized	[('XFG* (XFG.X)', 0.9954121590775493)]
lineages	XFG.14-like XFG-like XFG.3.31 XFG.29 XFG.4-like
abundances	0.68576661 0.30548676 0.00144006 0.00139448 0.00132425
resid	9.988254210212004
coverage	73.13647460121058
