	/WW01-SB-25-12-02-SC2
summarized	[('XFG* (XFG.X)', 0.5012874630960676), ('BA.2.86* (BA.2.86.X)', 0.49048540413495345)]
lineages	XFG.3.4-like JN.1-like(5)
abundances	0.50128746 0.49048540
resid	1.3730438268982272
coverage	13.821355716817711
