	/WW01-SB-25-11-03_SC2-NR
summarized	[('XFG* (XFG.X)', 0.9961071048469723)]
lineages	XFG.3-like XFG.2 XFG.6.2.1
abundances	0.56917234 0.42568301 0.00125175
resid	6.389445722053558
coverage	47.86810687890847
