	/WW01-EN-25-11-13_SC2-NR
summarized	[('XFG* (XFG.X)', 0.5767481221164564), ('BA.2.86* (BA.2.86.X)', 0.40040671958353097), ('Omicron', 0.01263864887919287)]
lineages	QT.3 MD.1.1 XER
abundances	0.57674812 0.40040672 0.01263865
resid	5.444746910253128
coverage	42.945523860482226
