	/WW02-PL-25-10-27_SC2-NR-noIVGAbead
summarized	[('XFG* (XFG.X)', 0.5778125655248291), ('BA.2.86* (BA.2.86.X)', 0.1855043965562245), ('NB.1.8.1* (NB.1.8.1.X)', 0.1648360382680988), ('Other', 0.062454002138255846)]
lineages	XFG-like XFG.6.1 LF.7.10.1 PQ.32 XFG.1.1 NB.1.2-like XFG.5.2.1 XFG.4.1.1
abundances	0.27222203 0.19604600 0.18550440 0.16483604 0.09724200 0.06245400 0.01066722 0.00163532
resid	12.335514687702918
coverage	48.72086412734508
