	/WW01-SC2-26-017473-EN-26-02-12-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.681051641469458), ('BA.2.86* (BA.2.86.X)', 0.3164432616985229), ('Other', 0.0012987123604905463)]
lineages	XFG.5.3 JN.11 XFG.1.1.1 XFG.3.1.9 QR.2 PL.1.2 PL.1 NT.4 XFZ.1
abundances	0.29275971 0.21609226 0.21428599 0.17400595 0.09449613 0.00222222 0.00222222 0.00141043 0.00129871
resid	5.704223468922875
coverage	39.18001538307193
