	/WW01-SC2-SB-101225-SDC-M08760-251021
summarized	[('XFG* (XFG.X)', 0.9961838738512955)]
lineages	XFG.3.20 XFG.3
abundances	0.49809194 0.49809194
resid	6.1996592431016335
coverage	73.65147309634484
