	/WW01-SC2-26-017989-SB-26-02-17-not-clean-Uni-RS-SH01109-260226
summarized	[('XFG* (XFG.X)', 0.6956965501270215), ('Omicron', 0.29436524461308), ('BA.2.86* (BA.2.86.X)', 0.0011472392609258193)]
lineages	XFG.14.1 XFG.1.1.1 XFC.2 XFC XER XFG.6.2.2 XFG.6.2 XFG.1 XFG XFG.14.1.3 LF.7.11 XFC.1.2
abundances	0.39421115 0.19684073 0.11654950 0.11654950 0.06014046 0.04697990 0.03827877 0.00907111 0.00907111 0.00124378 0.00114724 0.00112578
resid	8.128475462325259
coverage	82.3529411764706
