	/WW01-SC2-26-015761-PL-26-01-26-not-clean-Uni-RS-SH01109-260226
summarized	[('XFG* (XFG.X)', 0.4931387679692455), ('BA.2.86* (BA.2.86.X)', 0.24275767867618367), ('NB.1.8.1* (NB.1.8.1.X)', 0.10749727236434407), ('KP.3* (KP.3.X)', 0.10159461033600714), ('Other', 0.04603725498739002)]
lineages	LF.7.1.3 XFG.22.1 XFG.3.3.3 PQ.43 KP.3.6 XFG.9.6 XFG.17.2 XFG.6.2 LF.6 NB.1.2 JN.1.16.5 XDV.1.5 QA.1 XFG.22.3 XFG.6 XFG.5 XFG.22 XFG.32 JN.1.4.7
abundances	0.15234620 0.13636400 0.11514386 0.10749727 0.10159461 0.09060114 0.07060137 0.06980109 0.05304258 0.04170325 0.03378623 0.00433400 0.00243309 0.00227283 0.00227283 0.00227283 0.00227283 0.00153599 0.00114958
resid	8.930809018997486
coverage	63.95679363274588
