	/WW01-PL-25-10-26_SC2-NR
summarized	[('BA.2.86* (BA.2.86.X)', 0.9999953841097005)]
lineages	LF.7-like(1) LF.7.1.7
abundances	0.86357453 0.13642085
resid	19.28638877788513
coverage	46.236163595625854
