	/WW01-SC2-PL-100525-SDC-M08760-251021
summarized	[('XFG* (XFG.X)', 0.9963109358891136)]
lineages	XFG.4.4 XFG.4.2 XFG.4 XFG.3.5 XFG.3.6 XFG.3.9 XFG.3.7 XFG.3.11 XFG.3.8 XFG.3 XFG.13 XFG.3.1.2 QK.3 XFG.3.16
abundances	0.18588898 0.18588898 0.18588898 0.06187245 0.06187245 0.06187245 0.06187245 0.06187245 0.06187245 0.06187245 0.00154227 0.00142349 0.00142349 0.00114755
resid	11.689804771513764
coverage	59.99063639099756
