	/WW01-PL-25-11-24-SC2
summarized	[('Omicron', 0.8588111414452162), ('BA.2.86* (BA.2.86.X)', 0.136689261617706)]
lineages	XEF.3 JN.1-like(4)
abundances	0.85881114 0.13668926
resid	2.068971410668891
coverage	33.98990067886165
