	/WW01-SC2-PL-25-12-10-NR-SH01109-260102
summarized	[('BA.2.86* (BA.2.86.X)', 0.9950050980101581)]
lineages	PW.3 PW.1 LF.7.1 LF.7.2 LF.7.1.2 LF.7.1.4 LF.7.1.15 LF.7.1.14 LF.7.1.9 LF.7.1.8 LF.7.2.1 NT.1 LF.7.1.5 LF.7.9 NT.5 LF.7.9.4 LF.7.9.2 LF.7
abundances	0.05527806 0.05527806 0.05527806 0.05527806 0.05527806 0.05527806 0.05527806 0.05527806 0.05527806 0.05527806 0.05527806 0.05527806 0.05527806 0.05527806 0.05527806 0.05527806 0.05527806 0.05527806
resid	2.761591502332452
coverage	44.2865264354747
