	/WW01-SC2-EN-251017-BC-M08760-251105
summarized	[('XFG* (XFG.X)', 0.9969118220552898)]
lineages	XFG.3.20 XFG.3 XFG.3.3 XFG.3.19 XFG.10.3
abundances	0.46895523 0.46895523 0.05405400 0.00386100 0.00108637
resid	9.855586505661815
coverage	80.11236330802929
