	/WW01-SC2-PL-25-12-29-BC-SH01109-260112
summarized	[('XFG* (XFG.X)', 0.9922189654527429), ('BA.2.86* (BA.2.86.X)', 0.0011299399964720827)]
lineages	XFG.6.2 XFG.3.11 XFG.3.27.1 XFG.3.1.9 LF.7.5
abundances	0.61502717 0.36840470 0.00715692 0.00163018 0.00112994
resid	20.617626068812317
coverage	63.859813396649166
