	/WW01-SC2-26-018628-EN-26-02-27-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.7047980787116442), ('NB.1.8.1* (NB.1.8.1.X)', 0.23723554236684619), ('Other', 0.04987446000835434)]
lineages	XFG.1.1 XFG.14.1.8 PQ.17.11 XFG XFG.1 PQ.2.5.5 XFG.14.1.5 PQ.2.5.3 XFG.14.1 PQ.2.5 XFZ XFG.5.1.7 XFG.17.3 XFG.23.1.3 RV.1 PQ.14.3.1 XFG.3.26 XGE XFY.3 XFG.9.6 XFG.1.2 PQ.13.1
abundances	0.29153900 0.13134300 0.11509082 0.05958514 0.05958514 0.04594470 0.03462050 0.03276500 0.02963021 0.02443236 0.02380847 0.02013660 0.02006980 0.01818174 0.01818174 0.01749348 0.01714226 0.01698929 0.00907670 0.00258600 0.00219696 0.00150919
resid	12.171984296445725
coverage	86.9912717787513
