	/WW01-SB-25-11-23-SC2
summarized	[('XFG* (XFG.X)', 0.9979667347259252)]
lineages	XFG-like(1) XFG-like XFG.6.7 XFG.6.2.1 XFG.3.2 XFG.3.5-like
abundances	0.50446720 0.47971107 0.00533329 0.00425361 0.00232532 0.00187624
resid	5.402048501295415
coverage	60.02407785172056
