	/WW01-SC2-EN-26-02-26-26-018627-JH-SH01109-260312
summarized	[('XFG* (XFG.X)', 0.7526780541240853), ('NB.1.8.1* (NB.1.8.1.X)', 0.2237040444741935), ('Other', 0.015515306319898677)]
lineages	XFG.1.1 XFG.14.1.2 PQ.2.5 XFG XFG.1 PQ.17.11 XFG.14.1.8 PQ.48 XFG.5.1.4 XDK.1.1 PQ.14 XFQ PQ.7 PQ.2.5.5
abundances	0.29511748 0.18588391 0.10758111 0.10553941 0.09584172 0.05838183 0.05200000 0.05085289 0.01829553 0.01330129 0.00471463 0.00221402 0.00115807 0.00101552
resid	13.619945377920775
coverage	90.86713707654751
