	/WW01-SB-25-10-30_SC2-NR
summarized	[('XFG* (XFG.X)', 0.9989183333689052)]
lineages	XFG.3-like(1) XFG.4.1-like XFG.15 XFG.31 XFG.9.4.1 XFG.2.8
abundances	0.72657874 0.26632325 0.00187853 0.00149924 0.00136147 0.00127710
resid	4.235728291420639
coverage	50.91462395077417
