	/WW01-SC2-SB-251021-BC-M08760-251105
summarized	[('XFG* (XFG.X)', 0.9966117210054634)]
lineages	XFG.3.3 XFG.3.4.6 XFG.3.4 XFG.3.4.3 XFG.5 XFG.9 XFG.22 XFG.31 XFG.17 XFG.21 XFG.23 XFG.33 XFG
abundances	0.32407398 0.10126023 0.10126023 0.10126023 0.04097300 0.04097300 0.04097300 0.04097300 0.04097300 0.04097300 0.04097300 0.04097300 0.04097300
resid	10.789715967397214
coverage	77.1026318429589
