	/WW01-EN-25-11-11_SC2-NR
summarized	[('XFG* (XFG.X)', 0.9966746737767872)]
lineages	XFG.7.1.2 XFG.34 XFG.3.11 XFG.3.23 XFG.3.13 XFG.3.17 XFG.17.1 XFG.5 XFG.31 XFG.9 XFG.7 XFG.11 XFG.22 XFG.28 XFG.6 XFG.30 XFG.13 XFG.36 XFG.29 XFG.12 XFG.3.20 XFG.3.2 XFG.19 XFG.16 XFG.3 XFG.17 XFG.1 XFG.21 XFG.23 XFG.33 XFG.3.24 XFG.3.30 XFG.3.6 XFG.3.29 XFG.3.6.1 XFG.5.2.6 XFG.6.2.1 XFG.3.28 XFG.3.5.1 XFG.3.16.1 XFG.14 XFG.5.2.5 XFG.5.2.4 XFG.5.2.3 XFG.5.2.2 XFG.9.6 XFG.7.1 XFG.6.11 XFG.6.7 XFG.6.5 XFG.6.2 XFG.3.16 XFG.3.14 XFG.3.30.1 XFG.5.2 XFG.9.3 XFG.9.5 XFG.9.2 XFG.3.27 XFG.3.15 XFG.3.5 XFG
abundances	0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540 0.01607540
resid	2.6016401344511055
coverage	26.32846202722135
