	/WW01-SC2-SB-26-02-15-NR-SH01109-260223
summarized	[('Omicron', 0.47534350359675265), ('BA.2.86* (BA.2.86.X)', 0.23965600333338646), ('Other', 0.17977908127483758), ('XFG* (XFG.X)', 0.0978674190211902)]
lineages	XFC.1.2 XFZ LF.7.3 LF.7 XFG XFC.3
abundances	0.43404959 0.17977908 0.11982800 0.11982800 0.09786742 0.04129391
resid	14.378830674697067
coverage	84.00494933618701
