	/WW01-SC2-26-018629-EN-26-03-02-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.520565865668831), ('Other', 0.21264122439904992), ('NB.1.8.1* (NB.1.8.1.X)', 0.21242733039543604), ('BA.2.86* (BA.2.86.X)', 0.043819281970179154)]
lineages	XFG.1.1 XEB PQ.2.8 PQ.2.5.3 XFG.14 XFG.2.13 NB.1.2 BA.2.86 XDV.1 RC.4 XDP XDV.1.5
abundances	0.39854655 0.13646001 0.12529692 0.07858340 0.06190860 0.06011071 0.05157059 0.04381928 0.01473618 0.00854701 0.00768344 0.00219100
resid	13.442355322931881
coverage	82.88131625589406
