	/WW01-SC2-SB-25-12-25-BC-SH01109-260112
summarized	[('XFG* (XFG.X)', 0.9940200672403783)]
lineages	XFG.3.1.12 XFG.3.3.2
abundances	0.49783200 0.49618807
resid	4.518599609933966
coverage	35.21385814132361
