	/WW02-SC2-EN-25-11-14-NR-M08783-251124
summarized	[('XFG* (XFG.X)', 0.5155855050767119), ('BA.2.86* (BA.2.86.X)', 0.4784082930860984)]
lineages	XFG.5.3 XFG.15 LF.7.1.8 LF.7.1 LF.7.2 LF.7.5 LF.7.3 LF.7.1.2 LF.7.1.14 LF.7.1.9 LF.7.2.1 LF.7.4 LF.7.12 LF.7.1.6 LF.7.1.10 PC.2 PC.3 PC.4 LF.7.3.1 LF.7.9 NT.5 LF.7.3.4 LF.7.9.5 PL.1 PL.4 LF.7 XFG.3.11 XFG.3.7 XFG.3.5 XFG.3.27
abundances	0.41329199 0.07285859 0.02993092 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.01949902 0.00735873 0.00735873 0.00735873 0.00735873
resid	6.78223489675209
coverage	44.34672106477611
