	/WW02-SC2-26-017472-EN-26-02-11-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.5433242490780766), ('NB.1.8.1* (NB.1.8.1.X)', 0.17080288269630017), ('Other', 0.14362184612840967), ('BA.2.86* (BA.2.86.X)', 0.12903362995872966), ('Omicron', 0.004977996497741079)]
lineages	XFG.3 RC.1 XFG.14.1.4 NS.3 XFG.23.1.3 RV.1 NB.1.7 QS.2 PQ.43.1.1 XFG.23 XFG.1.1 NL.19 XFZ.1 XDV.1.3 XFZ XFG.3.19 PQ.43 NL.5.1 XDK.5 XFG.23.2 BA.2.87 NL.13 XFG.3.17 PQ.2.5.4
abundances	0.14889256 0.10682100 0.10519059 0.08758952 0.06034500 0.06034500 0.05927583 0.05453784 0.04960320 0.04336700 0.04247099 0.03178738 0.02857140 0.02796400 0.02187590 0.02083330 0.01309881 0.00645160 0.00593472 0.00517751 0.00497800 0.00320513 0.00216446 0.00127987
resid	12.966346078191421
coverage	73.9959201417918
