	/WW02-PL-25-10-28_SC2-NR
summarized	[('BA.2.86* (BA.2.86.X)', 0.9976887618217152)]
lineages	LF.7-like(1)
abundances	0.99768876
resid	9.705070451938013
coverage	46.51372771962679
