	/WW03-SB-25-11-03_SC2-NR
summarized	[('XFG* (XFG.X)', 0.9967684703610432)]
lineages	XFG.3-like XFG.2.7 XFG.6.2.1
abundances	0.56969339 0.42576728 0.00130781
resid	6.871810224994755
coverage	59.201417917934656
