	/WW01-SC2-SB-25-12-28-BC-SH01109-260112
summarized	[('XFG* (XFG.X)', 0.9990698081133069)]
lineages	XFG.1.1.2 XFG.1.1 RP.1 RP.2 XFG.1.1.1 XFG.1.3
abundances	0.16651163 0.16651163 0.16651163 0.16651163 0.16651163 0.16651163
resid	3.6236731356040335
coverage	22.405778684412937
