	/WW01-SC2-EN-25-12-19-NR-SH01109-260102
summarized	[('BA.2.86* (BA.2.86.X)', 0.3859264734666554), ('NB.1.8.1* (NB.1.8.1.X)', 0.3036915867180858), ('Other', 0.30235917871841034)]
lineages	PQ.18 JN.1.37 NB.1.10 PQ.32 JN.1.4.3 JN.1.32.1 JN.1.32 NB.1.7.1 NB.1.7 JN.1.4.6 NB.1.4
abundances	0.24132009 0.19794072 0.18022664 0.06237150 0.05907769 0.05907769 0.05907769 0.05762322 0.05762322 0.01075267 0.00688610
resid	16.04780948068822
coverage	63.94007290238438
