	/WW01-SC2-EN-26-02-25-26-018626-JH-SH01109-260312
summarized	[('XFG* (XFG.X)', 0.41708360823785157), ('Other', 0.3521759944465125), ('NB.1.8.1* (NB.1.8.1.X)', 0.22359139677851478)]
lineages	XFG.1.1 XDV XFG.3.4.3 XDK.1.1 PQ.2.5 XGE PQ.41 XFG.1 PQ.2.5.3 XFG.14.1 NB.1.6.1 XDV.1.5.1 QS.2
abundances	0.20763100 0.14967216 0.12388827 0.09894187 0.09817250 0.08554909 0.08550430 0.06487638 0.03991460 0.01775690 0.01314388 0.00486900 0.00293106
resid	16.67094042869089
coverage	87.7804902518142
