	/WW01-SC2-EN-100825-SDC-M08760-251021
summarized	[('BA.2.86* (BA.2.86.X)', 0.74271491681983), ('XFG* (XFG.X)', 0.24557631628023233)]
lineages	LF.7.11 NS.1 JN.1.16.3 JN.1.32 XFG.5 XFG.28 XFG.6 XFG.12 XFG.3.20 XFG.3 XFG.1 XFG.21 XFG JN.1.26
abundances	0.32372363 0.13579016 0.13579016 0.13579016 0.09999919 0.01819714 0.01819714 0.01819714 0.01819714 0.01819714 0.01819714 0.01819714 0.01819714 0.01162080
resid	22.179623574311044
coverage	69.69869243888573
